instance_name,num_nodes,instance_type,alpha,total_runtime,optimal_tsp_solution,optimal_tsp_split,lkh_cost,lkh_split,best_solution_name,best_solution_cost,opt_to_best_dist,opt_to_best_percent,optsplit_to_best_dist,optsplit_to_best_percent
uniform-alpha_1-71-n50,50,uniform,1,0.0192,585.689,487.782,590.6680,491.2570,TSP_OPT,487.782,-97.9070,83.2834%,0.0000,100.0000%
uniform-alpha_1-72-n50,50,uniform,1,0.1102,616.963,541.63,619.5200,527.3920,LKH_SOL,527.392,-89.5710,85.4819%,-14.2380,97.3713%
uniform-alpha_1-73-n50,50,uniform,1,0.0290,608.244,504.275,612.3400,508.1930,TSP_OPT,504.275,-103.9690,82.9067%,0.0000,100.0000%
uniform-alpha_1-74-n50,50,uniform,1,0.0127,589.171,495.207,589.1710,495.2070,TSP_OPT,495.207,-93.9640,84.0515%,0.0000,100.0000%
uniform-alpha_1-75-n50,50,uniform,1,0.0228,632.016,531.645,641.0190,541.8310,TSP_OPT_BED_INV_1.25,527.799,-104.2170,83.5104%,-3.8460,99.2766%
uniform-alpha_1-76-n50,50,uniform,1,0.0330,586.128,483.316,586.3480,481.0870,LKH_SOL,481.087,-105.0410,82.0788%,-2.2290,99.5388%
uniform-alpha_1-77-n50,50,uniform,1,0.0320,626.396,527.598,636.8930,530.5370,LKH_SOL_BED_INV_1.25,526.454,-99.9420,84.0449%,-1.1440,99.7832%
uniform-alpha_1-78-n50,50,uniform,1,0.0201,597.38,525.687,597.7330,523.3670,LKH_SOL,523.367,-74.0130,87.6104%,-2.3200,99.5587%
uniform-alpha_1-79-n50,50,uniform,1,0.0326,559.095,486.703,559.0950,486.7030,TSP_OPT,486.703,-72.3920,87.0519%,0.0000,100.0000%
uniform-alpha_1-80-n50,50,uniform,1,0.0248,559.177,461.914,570.4120,479.6430,TSP_OPT,461.914,-97.2630,82.6060%,0.0000,100.0000%
singlecenter-alpha_1-71-n50,50,singlecenter,1,0.0405,698.798,576.978,708.4640,567.2050,LKH_SOL_BER_ORIG_1.25,565.058,-133.7400,80.8614%,-11.9200,97.9341%
singlecenter-alpha_1-72-n50,50,singlecenter,1,0.0304,808.358,659.198,808.3580,659.1980,TSP_OPT,659.198,-149.1600,81.5478%,0.0000,100.0000%
singlecenter-alpha_1-73-n50,50,singlecenter,1,0.0546,612.437,496.92,620.4160,486.7810,LKH_SOL,486.781,-125.6560,79.4826%,-10.1390,97.9596%
singlecenter-alpha_1-74-n50,50,singlecenter,1,0.0153,907.379,753.801,907.6660,727.8750,LKH_SOL_BED_INV_1.25,717.92,-189.4590,79.1202%,-35.8810,95.2400%
singlecenter-alpha_1-75-n50,50,singlecenter,1,0.0249,1015.14,762.539,1031.8200,762.9330,TSP_OPT,762.539,-252.6010,75.1166%,0.0000,100.0000%
singlecenter-alpha_1-76-n50,50,singlecenter,1,0.0245,887.769,712.032,892.1950,713.6730,LKH_SOL_BED_ORIG_1.25,701.132,-186.6370,78.9769%,-10.9000,98.4692%
singlecenter-alpha_1-77-n50,50,singlecenter,1,0.0297,779.523,582.044,828.2570,628.3750,TSP_OPT,582.044,-197.4790,74.6667%,0.0000,100.0000%
singlecenter-alpha_1-78-n50,50,singlecenter,1,0.0222,913.096,725.476,913.0960,725.4760,TSP_OPT_BED_INV_1.25,725.469,-187.6270,79.4516%,-0.0070,99.9990%
singlecenter-alpha_1-79-n50,50,singlecenter,1,0.0470,783.678,605.22,789.3530,600.1170,LKH_SOL,600.117,-183.5610,76.5770%,-5.1030,99.1568%
singlecenter-alpha_1-80-n50,50,singlecenter,1,0.0435,970.54,753.851,994.1830,795.3630,TSP_OPT,753.851,-216.6890,77.6734%,0.0000,100.0000%
doublecenter-alpha_1-71-n50,50,doublecenter,1,0.0401,1432.69,1084.42,1466.8600,1089.8600,TSP_OPT,1084.42,-348.2700,75.6912%,0.0000,100.0000%
doublecenter-alpha_1-72-n50,50,doublecenter,1,0.0336,1257.98,1023.72,1257.9800,1023.7200,TSP_OPT,1023.72,-234.2600,81.3781%,0.0000,100.0000%
doublecenter-alpha_1-73-n50,50,doublecenter,1,0.0438,1181.44,928.953,1189.0400,946.0230,TSP_OPT_BED_INV_1.25,918.552,-262.8880,77.7485%,-10.4010,98.8804%
doublecenter-alpha_1-74-n50,50,doublecenter,1,0.0274,1136.56,947.575,1136.5600,947.5750,TSP_OPT_BED_ORIG_1.25,947.365,-189.1950,83.3537%,-0.2100,99.9778%
doublecenter-alpha_1-75-n50,50,doublecenter,1,0.0264,1275.28,1043.59,1275.2800,1043.5900,TSP_OPT,1043.59,-231.6900,81.8322%,0.0000,100.0000%
doublecenter-alpha_1-76-n50,50,doublecenter,1,0.0217,1394.89,1077.34,1396.5300,1077.4700,LKH_SOL_BED_INV_1.25,1077.33,-317.5600,77.2340%,-0.0100,99.9991%
doublecenter-alpha_1-77-n50,50,doublecenter,1,0.0510,1184.19,979.002,1184.1900,979.0020,TSP_OPT,979.002,-205.1880,82.6727%,0.0000,100.0000%
doublecenter-alpha_1-78-n50,50,doublecenter,1,0.0348,1337.67,1010.32,1355.8800,1033.0300,TSP_OPT_BED_ORIG_1.25,1008.19,-329.4800,75.3691%,-2.1300,99.7892%
doublecenter-alpha_1-79-n50,50,doublecenter,1,0.0323,1213.96,992.743,1214.7000,982.7360,LKH_SOL_BED_INV_1.25,974.351,-239.6090,80.2622%,-18.3920,98.1474%
doublecenter-alpha_1-80-n50,50,doublecenter,1,0.0392,1356.42,1101.01,1371.3000,1126.5300,TSP_OPT,1101.01,-255.4100,81.1703%,0.0000,100.0000%
uniform-71-n50,50,uniform,2,0.0184,585.689,439.203,590.6680,436.7460,TSP_OPT_BER_INV_0.75,435.049,-150.6400,74.2799%,-4.1540,99.0542%
uniform-72-n50,50,uniform,2,0.0739,616.963,506.596,619.5200,485.0890,LKH_SOL,485.089,-131.8740,78.6253%,-21.5070,95.7546%
uniform-73-n50,50,uniform,2,0.0238,608.244,471.239,612.3400,471.7110,TSP_OPT_BED_INV_1.75,458.41,-149.8340,75.3661%,-12.8290,97.2776%
uniform-74-n50,50,uniform,2,0.0124,589.171,453.822,589.1710,453.8220,TSP_OPT_BED_INV_0.75,448.893,-140.2780,76.1906%,-4.9290,98.9139%
uniform-75-n50,50,uniform,2,0.0409,632.016,480.918,641.0190,496.8300,TSP_OPT_BED_ORIG_0.75,478.47,-153.5460,75.7054%,-2.4480,99.4910%
uniform-76-n50,50,uniform,2,0.0345,586.128,431.052,586.3480,423.3550,LKH_SOL_BED_INV_0.75,419.131,-166.9970,71.5084%,-11.9210,97.2344%
uniform-77-n50,50,uniform,2,0.0367,626.396,479.019,636.8930,489.5790,LKH_SOL_BED_INV_0.75,478.895,-147.5010,76.4524%,-0.1240,99.9741%
uniform-78-n50,50,uniform,2,0.0203,597.38,486.204,597.7330,480.2960,LKH_SOL_BED_INV_0.75,474.155,-123.2250,79.3724%,-12.0490,97.5218%
uniform-79-n50,50,uniform,2,0.0324,559.095,458.795,559.0950,458.7950,TSP_OPT_BED_ORIG_1.00,451.2,-107.8950,80.7018%,-7.5950,98.3446%
uniform-80-n50,50,uniform,2,0.0619,559.177,407.002,570.4120,429.5520,TSP_OPT,407.002,-152.1750,72.7859%,0.0000,100.0000%
singlecenter-71-n50,50,singlecenter,2,0.0217,698.798,491.774,708.4640,490.7110,LKH_SOL_BER_INV_1.00,470.537,-228.2610,67.3352%,-21.2370,95.6816%
singlecenter-72-n50,50,singlecenter,2,0.0430,808.358,583.665,808.3580,583.6650,TSP_OPT_BED_ORIG_2.00,581.663,-226.6950,71.9561%,-2.0020,99.6570%
singlecenter-73-n50,50,singlecenter,2,0.0793,612.437,424.332,620.4160,420.2550,LKH_SOL,420.255,-192.1820,68.6201%,-4.0770,99.0392%
singlecenter-74-n50,50,singlecenter,2,0.0515,907.379,693.741,907.6660,668.4660,LKH_SOL_BER_INV_0.75,596.02,-311.3590,65.6859%,-97.7210,85.9139%
singlecenter-75-n50,50,singlecenter,2,0.0281,1015.14,672.65,1031.8200,667.9440,LKH_SOL_BED_INV_0.75,651.006,-364.1340,64.1297%,-21.6440,96.7823%
singlecenter-76-n50,50,singlecenter,2,0.0152,887.769,632.397,892.1950,636.9630,TSP_OPT_BED_ORIG_0.75,621.48,-266.2890,70.0047%,-10.9170,98.2737%
singlecenter-77-n50,50,singlecenter,2,0.0376,779.523,487.952,828.2570,537.4670,TSP_OPT,487.952,-291.5710,62.5962%,0.0000,100.0000%
singlecenter-78-n50,50,singlecenter,2,0.0156,913.096,632.814,913.0960,632.8140,TSP_OPT_BED_ORIG_0.75,628.568,-284.5280,68.8392%,-4.2460,99.3290%
singlecenter-79-n50,50,singlecenter,2,0.0516,783.678,527.471,789.3530,538.5760,TSP_OPT_BER_INV_0.75,516.775,-266.9030,65.9423%,-10.6960,97.9722%
singlecenter-80-n50,50,singlecenter,2,0.0739,970.54,677.329,994.1830,713.6870,TSP_OPT,677.329,-293.2110,69.7889%,0.0000,100.0000%
doublecenter-71-n50,50,doublecenter,2,0.0302,1432.69,967.292,1466.8600,965.7980,TSP_OPT_BED_INV_0.75,935.8,-496.8900,65.3177%,-31.4920,96.7443%
doublecenter-72-n50,50,doublecenter,2,0.0393,1257.98,961.516,1257.9800,961.5160,TSP_OPT_BED_ORIG_0.75,910.305,-347.6750,72.3624%,-51.2110,94.6739%
doublecenter-73-n50,50,doublecenter,2,0.0433,1181.44,824.658,1189.0400,836.6490,LKH_SOL_BED_INV_0.75,791.754,-389.6860,67.0160%,-32.9040,96.0100%
doublecenter-74-n50,50,doublecenter,2,0.0269,1136.56,840.234,1136.5600,840.2340,TSP_OPT_BED_ORIG_1.00,818.291,-318.2690,71.9972%,-21.9430,97.3885%
doublecenter-75-n50,50,doublecenter,2,0.0265,1275.28,966.983,1275.2800,966.9830,TSP_OPT_BED_INV_0.75,962.76,-312.5200,75.4940%,-4.2230,99.5633%
doublecenter-76-n50,50,doublecenter,2,0.0209,1394.89,889.065,1396.5300,890.6210,LKH_SOL_BED_INV_0.75,882.702,-512.1880,63.2811%,-6.3630,99.2843%
doublecenter-77-n50,50,doublecenter,2,0.0512,1184.19,870.975,1184.1900,870.9750,TSP_OPT_BED_INV_1.25,861.575,-322.6150,72.7565%,-9.4000,98.9207%
doublecenter-78-n50,50,doublecenter,2,0.0315,1337.67,846.71,1355.8800,877.0090,TSP_OPT,846.71,-490.9600,63.2974%,0.0000,100.0000%
doublecenter-79-n50,50,doublecenter,2,0.0345,1213.96,888.465,1214.7000,892.6440,TSP_OPT_BER_INV_0.75,859.78,-354.1800,70.8244%,-28.6850,96.7714%
doublecenter-80-n50,50,doublecenter,2,0.0326,1356.42,959.837,1371.3000,966.7690,TSP_OPT,959.837,-396.5830,70.7625%,0.0000,100.0000%
uniform-alpha_3-71-n50,50,uniform,3,0.0152,585.689,437.847,590.6680,435.3890,TSP_OPT_BER_INV_0.50,432.682,-153.0070,73.8757%,-5.1650,98.8204%
uniform-alpha_3-72-n50,50,uniform,3,0.0641,616.963,505.721,619.5200,481.9580,LKH_SOL,481.958,-135.0050,78.1178%,-23.7630,95.3012%
uniform-alpha_3-73-n50,50,uniform,3,0.0505,608.244,471.2,612.3400,471.7110,TSP_OPT_BED_INV_1.25,424.611,-183.6330,69.8093%,-46.5890,90.1127%
uniform-alpha_3-74-n50,50,uniform,3,0.0128,589.171,452.673,589.1710,452.6730,TSP_OPT_BED_INV_0.50,442.559,-146.6120,75.1155%,-10.1140,97.7657%
uniform-alpha_3-75-n50,50,uniform,3,0.0303,632.016,479.685,641.0190,496.4310,TSP_OPT_BER_ORIG_1.50,477.251,-154.7650,75.5125%,-2.4340,99.4926%
uniform-alpha_3-76-n50,50,uniform,3,0.0456,586.128,428.451,586.3480,423.3550,LKH_SOL_BED_INV_2.00,405.552,-180.5760,69.1917%,-22.8990,94.6554%
uniform-alpha_3-77-n50,50,uniform,3,0.0455,626.396,479.019,636.8930,489.4280,TSP_OPT_BED_INV_1.25,461.602,-164.7940,73.6917%,-17.4170,96.3640%
uniform-alpha_3-78-n50,50,uniform,3,0.0289,597.38,484.838,597.7330,478.9300,LKH_SOL_BED_INV_1.50,466.2,-131.1800,78.0408%,-18.6380,96.1558%
uniform-alpha_3-79-n50,50,uniform,3,0.0377,559.095,458.795,559.0950,458.7950,TSP_OPT_BED_ORIG_0.75,451.691,-107.4040,80.7897%,-7.1040,98.4516%
uniform-alpha_3-80-n50,50,uniform,3,0.0240,559.177,402.256,570.4120,428.1460,TSP_OPT,402.256,-156.9210,71.9372%,0.0000,100.0000%
singlecenter-alpha_3-71-n50,50,singlecenter,3,0.0277,698.798,485.111,708.4640,480.8720,TSP_OPT_BED_ORIG_1.00,467.655,-231.1430,66.9228%,-17.4560,96.4016%
singlecenter-alpha_3-72-n50,50,singlecenter,3,0.0233,808.358,582.139,808.3580,582.1390,TSP_OPT_BED_ORIG_1.50,524.83,-283.5280,64.9254%,-57.3090,90.1554%
singlecenter-alpha_3-73-n50,50,singlecenter,3,0.0483,612.437,424.29,620.4160,416.6480,LKH_SOL,416.648,-195.7890,68.0312%,-7.6420,98.1989%
singlecenter-alpha_3-74-n50,50,singlecenter,3,0.0172,907.379,693.741,907.6660,668.4660,LKH_SOL_BER_INV_0.50,571.253,-336.1260,62.9564%,-122.4880,82.3438%
singlecenter-alpha_3-75-n50,50,singlecenter,3,0.0238,1015.14,668.415,1031.8200,667.0120,LKH_SOL_BED_ORIG_2.00,622.681,-392.4590,61.3394%,-45.7340,93.1578%
singlecenter-alpha_3-76-n50,50,singlecenter,3,0.0130,887.769,632.103,892.1950,636.6100,LKH_SOL_BED_ORIG_0.75,612.772,-274.9970,69.0238%,-19.3310,96.9418%
singlecenter-alpha_3-77-n50,50,singlecenter,3,0.0235,779.523,486.144,828.2570,524.3060,TSP_OPT_BED_ORIG_0.50,485.717,-293.8060,62.3095%,-0.4270,99.9122%
singlecenter-alpha_3-78-n50,50,singlecenter,3,0.0137,913.096,622.019,913.0960,622.0190,TSP_OPT_BED_INV_1.50,592.782,-320.3140,64.9200%,-29.2370,95.2997%
singlecenter-alpha_3-79-n50,50,singlecenter,3,0.0503,783.678,519.953,789.3530,527.2160,TSP_OPT_BER_INV_0.50,501.609,-282.0690,64.0070%,-18.3440,96.4720%
singlecenter-alpha_3-80-n50,50,singlecenter,3,0.0548,970.54,676.732,994.1830,701.3160,LKH_SOL_BED_INV_0.50,658.297,-312.2430,67.8279%,-18.4350,97.2759%
doublecenter-alpha_3-71-n50,50,doublecenter,3,0.0394,1432.69,966.785,1466.8600,963.7460,TSP_OPT_BED_ORIG_0.50,896.74,-535.9500,62.5913%,-70.0450,92.7549%
doublecenter-alpha_3-72-n50,50,doublecenter,3,0.0410,1257.98,960.923,1257.9800,960.9230,TSP_OPT_BER_INV_1.00,894.973,-363.0070,71.1437%,-65.9500,93.1368%
doublecenter-alpha_3-73-n50,50,doublecenter,3,0.0486,1181.44,814.558,1189.0400,836.3800,LKH_SOL_BED_INV_0.50,771.23,-410.2100,65.2788%,-43.3280,94.6808%
doublecenter-alpha_3-74-n50,50,doublecenter,3,0.0325,1136.56,834.792,1136.5600,834.7920,TSP_OPT_BED_ORIG_1.00,787.237,-349.3230,69.2649%,-47.5550,94.3034%
doublecenter-alpha_3-75-n50,50,doublecenter,3,0.0273,1275.28,965.598,1275.2800,965.5980,TSP_OPT_BED_ORIG_1.75,913.106,-362.1740,71.6004%,-52.4920,94.5638%
doublecenter-alpha_3-76-n50,50,doublecenter,3,0.0192,1394.89,878.336,1396.5300,879.8910,LKH_SOL_BED_INV_0.50,870.07,-524.8200,62.3755%,-8.2660,99.0589%
doublecenter-alpha_3-77-n50,50,doublecenter,3,0.0476,1184.19,864.532,1184.1900,864.5320,TSP_OPT_BED_INV_0.75,825.184,-359.0060,69.6834%,-39.3480,95.4486%
doublecenter-alpha_3-78-n50,50,doublecenter,3,0.0365,1337.67,836.01,1355.8800,873.9920,TSP_OPT_BED_INV_0.50,828.992,-508.6780,61.9728%,-7.0180,99.1605%
doublecenter-alpha_3-79-n50,50,doublecenter,3,0.0352,1213.96,881.224,1214.7000,885.4020,TSP_OPT_BED_ORIG_0.50,843.486,-370.4740,69.4822%,-37.7380,95.7175%
doublecenter-alpha_3-80-n50,50,doublecenter,3,0.0345,1356.42,946.634,1371.3000,953.5660,TSP_OPT_BER_ORIG_0.50,934.327,-422.0930,68.8818%,-12.3070,98.6999%
uniform-alpha_1-81-n75,75,uniform,1,0.0837,700.776,597.438,708.7330,591.9620,LKH_SOL_BED_ORIG_1.25,591.468,-109.3080,84.4019%,-5.9700,99.0007%
uniform-alpha_1-82-n75,75,uniform,1,0.0949,644.828,537.1,646.6980,541.7260,TSP_OPT_BED_ORIG_1.25,534.927,-109.9010,82.9565%,-2.1730,99.5954%
uniform-alpha_1-83-n75,75,uniform,1,0.0462,658.825,555.174,664.4230,565.3600,TSP_OPT,555.174,-103.6510,84.2673%,0.0000,100.0000%
uniform-alpha_1-84-n75,75,uniform,1,0.0472,703.308,600.709,703.3080,600.7090,TSP_OPT,600.709,-102.5990,85.4119%,0.0000,100.0000%
uniform-alpha_1-85-n75,75,uniform,1,0.1005,729.365,632.775,748.8760,625.8420,LKH_SOL_BED_INV_1.25,623.666,-105.6990,85.5081%,-9.1090,98.5605%
uniform-alpha_1-86-n75,75,uniform,1,0.0216,710.433,588.536,717.1880,591.6950,TSP_OPT,588.536,-121.8970,82.8419%,0.0000,100.0000%
uniform-alpha_1-87-n75,75,uniform,1,0.1077,710.943,595.031,719.2470,613.9160,TSP_OPT,595.031,-115.9120,83.6960%,0.0000,100.0000%
uniform-alpha_1-88-n75,75,uniform,1,0.0632,717.425,616.973,726.2720,614.8650,LKH_SOL_BER_INV_1.25,614.438,-102.9870,85.6449%,-2.5350,99.5891%
uniform-alpha_1-89-n75,75,uniform,1,0.0722,658.523,537.241,669.4840,553.8320,TSP_OPT,537.241,-121.2820,81.5827%,0.0000,100.0000%
uniform-alpha_1-90-n75,75,uniform,1,0.1533,716.913,594.585,721.7600,580.1680,LKH_SOL_BER_INV_1.25,580.056,-136.8570,80.9102%,-14.5290,97.5564%
singlecenter-alpha_1-81-n75,75,singlecenter,1,0.1550,1261.98,976.582,1276.2400,977.7230,LKH_SOL_BED_ORIG_1.25,970.856,-291.1240,76.9312%,-5.7260,99.4137%
singlecenter-alpha_1-82-n75,75,singlecenter,1,0.0286,1004.83,767.24,1018.6800,783.3920,TSP_OPT,767.24,-237.5900,76.3552%,0.0000,100.0000%
singlecenter-alpha_1-83-n75,75,singlecenter,1,0.2139,1018.57,820.579,1033.8400,817.0790,LKH_SOL,817.079,-201.4910,80.2182%,-3.5000,99.5735%
singlecenter-alpha_1-84-n75,75,singlecenter,1,0.0572,1100.52,908.449,1110.4100,931.4390,TSP_OPT,908.449,-192.0710,82.5473%,0.0000,100.0000%
singlecenter-alpha_1-85-n75,75,singlecenter,1,0.0444,1035.13,772.758,1049.0900,799.0190,TSP_OPT,772.758,-262.3720,74.6532%,0.0000,100.0000%
singlecenter-alpha_1-86-n75,75,singlecenter,1,0.0448,1207.58,979.81,1211.5300,989.4830,TSP_OPT_BED_ORIG_1.25,967.318,-240.2620,80.1038%,-12.4920,98.7251%
singlecenter-alpha_1-87-n75,75,singlecenter,1,1.5076,1118.94,938.87,1121.1100,943.3350,TSP_OPT,938.87,-180.0700,83.9071%,0.0000,100.0000%
singlecenter-alpha_1-88-n75,75,singlecenter,1,0.0752,1208.5,945.373,1227.7400,903.1970,LKH_SOL,903.197,-305.3030,74.7370%,-42.1760,95.5387%
singlecenter-alpha_1-89-n75,75,singlecenter,1,0.1129,1026.08,844.196,1026.0800,844.1960,TSP_OPT_BER_INV_1.25,840.505,-185.5750,81.9142%,-3.6910,99.5628%
singlecenter-alpha_1-90-n75,75,singlecenter,1,0.2607,1216.31,989.583,1221.1100,980.5720,LKH_SOL,980.572,-235.7380,80.6186%,-9.0110,99.0894%
doublecenter-alpha_1-81-n75,75,doublecenter,1,0.0441,1409.64,1144.79,1418.3200,1150.0600,TSP_OPT,1144.79,-264.8500,81.2115%,0.0000,100.0000%
doublecenter-alpha_1-82-n75,75,doublecenter,1,0.0714,1506.07,1233.53,1510.8500,1237.3400,TSP_OPT,1233.53,-272.5400,81.9039%,0.0000,100.0000%
doublecenter-alpha_1-83-n75,75,doublecenter,1,0.0670,1480.84,1155.08,1500.8800,1182.7200,TSP_OPT_BER_INV_1.25,1149.01,-331.8300,77.5918%,-6.0700,99.4745%
doublecenter-alpha_1-84-n75,75,doublecenter,1,0.5184,1812.42,1492.6,1831.8200,1487.2500,LKH_SOL,1487.25,-325.1700,82.0588%,-5.3500,99.6416%
doublecenter-alpha_1-85-n75,75,doublecenter,1,0.1319,1887.41,1403.51,1900.7400,1463.0700,TSP_OPT,1403.51,-483.9000,74.3617%,0.0000,100.0000%
doublecenter-alpha_1-86-n75,75,doublecenter,1,0.1015,1455.14,1150.82,1455.1400,1150.8200,TSP_OPT,1150.82,-304.3200,79.0865%,0.0000,100.0000%
doublecenter-alpha_1-87-n75,75,doublecenter,1,0.0491,1501.97,1248.4,1501.9700,1248.4000,TSP_OPT_BER_INV_1.25,1246.73,-255.2400,83.0063%,-1.6700,99.8662%
doublecenter-alpha_1-88-n75,75,doublecenter,1,0.0644,1832.22,1388.94,1834.8300,1403.1400,TSP_OPT,1388.94,-443.2800,75.8064%,0.0000,100.0000%
doublecenter-alpha_1-89-n75,75,doublecenter,1,0.0703,1527.38,1216.68,1573.2500,1295.2800,TSP_OPT,1216.68,-310.7000,79.6580%,0.0000,100.0000%
doublecenter-alpha_1-90-n75,75,doublecenter,1,0.0510,1448.73,1120.28,1461.1400,1212.8300,TSP_OPT,1120.28,-328.4500,77.3284%,0.0000,100.0000%
uniform-81-n75,75,uniform,2,0.0726,700.776,543.969,708.7330,543.6660,TSP_OPT_BER_INV_0.75,538.084,-162.6920,76.7840%,-5.8850,98.9181%
uniform-82-n75,75,uniform,2,0.0248,644.828,494.29,646.6980,497.8810,TSP_OPT,494.29,-150.5380,76.6545%,0.0000,100.0000%
uniform-83-n75,75,uniform,2,0.0383,658.825,487.641,664.4230,511.6360,TSP_OPT,487.641,-171.1840,74.0168%,0.0000,100.0000%
uniform-84-n75,75,uniform,2,0.0521,703.308,550.924,703.3080,550.9240,TSP_OPT_BED_INV_0.75,549.238,-154.0700,78.0935%,-1.6860,99.6940%
uniform-85-n75,75,uniform,2,0.0959,729.365,578.366,748.8760,560.6080,LKH_SOL_BED_ORIG_1.00,559.121,-170.2440,76.6586%,-19.2450,96.6725%
uniform-86-n75,75,uniform,2,0.0213,710.433,522.057,717.1880,533.2010,TSP_OPT,522.057,-188.3760,73.4843%,0.0000,100.0000%
uniform-87-n75,75,uniform,2,0.1038,710.943,538.156,719.2470,567.1180,TSP_OPT_BED_ORIG_0.75,537.219,-173.7240,75.5643%,-0.9370,99.8259%
uniform-88-n75,75,uniform,2,0.0611,717.425,563.7,726.2720,551.8350,LKH_SOL,551.835,-165.5900,76.9188%,-11.8650,97.8952%
uniform-89-n75,75,uniform,2,0.0732,658.523,468.214,669.4840,497.4330,TSP_OPT,468.214,-190.3090,71.1006%,0.0000,100.0000%
uniform-90-n75,75,uniform,2,0.1328,716.913,542.221,721.7600,517.2100,LKH_SOL,517.21,-199.7030,72.1440%,-25.0110,95.3873%
singlecenter-81-n75,75,singlecenter,2,0.0615,1261.98,853.943,1276.2400,852.9000,LKH_SOL_BED_ORIG_0.75,805.762,-456.2180,63.8490%,-48.1810,94.3578%
singlecenter-82-n75,75,singlecenter,2,0.0238,1004.83,678.169,1018.6800,706.3850,TSP_OPT,678.169,-326.6610,67.4909%,0.0000,100.0000%
singlecenter-83-n75,75,singlecenter,2,0.3725,1018.57,731.821,1033.8400,713.3140,LKH_SOL,713.314,-305.2560,70.0309%,-18.5070,97.4711%
singlecenter-84-n75,75,singlecenter,2,0.0726,1100.52,816.538,1110.4100,852.5110,TSP_OPT,816.538,-283.9820,74.1957%,0.0000,100.0000%
singlecenter-85-n75,75,singlecenter,2,0.0463,1035.13,668.263,1049.0900,700.0350,TSP_OPT,668.263,-366.8670,64.5584%,0.0000,100.0000%
