instance_name,num_nodes,instance_type,alpha,total_runtime,optimal_tsp_solution,optimal_tsp_split,lkh_cost,lkh_split,best_solution_name,best_solution_cost,opt_to_best_dist,opt_to_best_percent,optsplit_to_best_dist,optsplit_to_best_percent
singlecenter-86-n75,75,singlecenter,2,0.0316,1207.58,910.426,1211.5300,932.5500,TSP_OPT_BED_ORIG_0.75,845.335,-362.2450,70.0024%,-65.0910,92.8505%
singlecenter-87-n75,75,singlecenter,2,1.2758,1118.94,852.6,1121.1100,845.1140,TSP_OPT_BER_ORIG_0.75,819.508,-299.4320,73.2397%,-33.0920,96.1187%
singlecenter-88-n75,75,singlecenter,2,0.1644,1208.5,868.37,1227.7400,767.2700,LKH_SOL,767.27,-441.2300,63.4894%,-101.1000,88.3575%
singlecenter-89-n75,75,singlecenter,2,0.0660,1026.08,775.686,1026.0800,775.6860,TSP_OPT,775.686,-250.3940,75.5970%,0.0000,100.0000%
singlecenter-90-n75,75,singlecenter,2,0.2541,1216.31,879.089,1221.1100,866.3190,LKH_SOL_BED_INV_0.75,851.961,-364.3490,70.0447%,-27.1280,96.9141%
doublecenter-81-n75,75,doublecenter,2,0.0420,1409.64,1056.08,1418.3200,1043.7100,LKH_SOL_BED_ORIG_0.75,1038.53,-371.1100,73.6734%,-17.5500,98.3382%
doublecenter-82-n75,75,doublecenter,2,0.0421,1506.07,1148.8,1510.8500,1152.5400,TSP_OPT_BED_ORIG_0.75,1059.1,-446.9700,70.3221%,-89.7000,92.1919%
doublecenter-83-n75,75,doublecenter,2,0.0719,1480.84,1001.29,1500.8800,991.2900,LKH_SOL,991.29,-489.5500,66.9411%,-10.0000,99.0013%
doublecenter-84-n75,75,doublecenter,2,0.3535,1812.42,1386.14,1831.8200,1351.8100,LKH_SOL,1351.81,-460.6100,74.5859%,-34.3300,97.5233%
doublecenter-85-n75,75,doublecenter,2,0.1370,1887.41,1227.95,1900.7400,1276.6500,TSP_OPT_BED_INV_0.75,1223.13,-664.2800,64.8047%,-4.8200,99.6075%
doublecenter-86-n75,75,doublecenter,2,0.0970,1455.14,1011.59,1455.1400,1011.5900,TSP_OPT,1011.59,-443.5500,69.5184%,0.0000,100.0000%
doublecenter-87-n75,75,doublecenter,2,0.0488,1501.97,1114.36,1501.9700,1114.3600,TSP_OPT,1114.36,-387.6100,74.1932%,0.0000,100.0000%
doublecenter-88-n75,75,doublecenter,2,0.1279,1832.22,1241.79,1834.8300,1261.2200,TSP_OPT,1241.79,-590.4300,67.7752%,0.0000,100.0000%
doublecenter-89-n75,75,doublecenter,2,0.0990,1527.38,1112.16,1573.2500,1190.7300,TSP_OPT_BED_INV_0.75,1085.32,-442.0600,71.0576%,-26.8400,97.5867%
doublecenter-90-n75,75,doublecenter,2,0.0460,1448.73,968.502,1461.1400,1096.7000,TSP_OPT,968.502,-480.2280,66.8518%,0.0000,100.0000%
uniform-alpha_3-81-n75,75,uniform,3,0.0854,700.776,542.144,708.7330,543.3460,TSP_OPT_BER_INV_0.75,535.695,-165.0810,76.4431%,-6.4490,98.8105%
uniform-alpha_3-82-n75,75,uniform,3,0.0237,644.828,493.369,646.6980,496.9610,TSP_OPT_BED_INV_0.75,488.441,-156.3870,75.7475%,-4.9280,99.0012%
uniform-alpha_3-83-n75,75,uniform,3,0.0489,658.825,487.641,664.4230,510.7750,TSP_OPT,487.641,-171.1840,74.0168%,0.0000,100.0000%
uniform-alpha_3-84-n75,75,uniform,3,0.0444,703.308,550.924,703.3080,550.9240,TSP_OPT_BED_INV_1.25,532.68,-170.6280,75.7392%,-18.2440,96.6885%
uniform-alpha_3-85-n75,75,uniform,3,0.1671,729.365,578.312,748.8760,558.7780,LKH_SOL_BED_ORIG_1.00,550.303,-179.0620,75.4496%,-28.0090,95.1568%
uniform-alpha_3-86-n75,75,uniform,3,0.0305,710.433,521.141,717.1880,532.7790,TSP_OPT_BED_ORIG_0.75,509.398,-201.0350,71.7025%,-11.7430,97.7467%
uniform-alpha_3-87-n75,75,uniform,3,0.0685,710.943,536.63,719.2470,567.1180,TSP_OPT_BED_ORIG_0.50,534.81,-176.1330,75.2254%,-1.8200,99.6608%
uniform-alpha_3-88-n75,75,uniform,3,0.0767,717.425,563.7,726.2720,551.8350,LKH_SOL,551.835,-165.5900,76.9188%,-11.8650,97.8952%
uniform-alpha_3-89-n75,75,uniform,3,0.0735,658.523,465.195,669.4840,494.2990,TSP_OPT,465.195,-193.3280,70.6422%,0.0000,100.0000%
uniform-alpha_3-90-n75,75,uniform,3,0.4179,716.913,542.221,721.7600,510.7350,LKH_SOL_BED_INV_0.75,506.624,-210.2890,70.6674%,-35.5970,93.4350%
singlecenter-alpha_3-81-n75,75,singlecenter,3,0.0668,1261.98,851.077,1276.2400,846.0610,LKH_SOL_BED_ORIG_0.50,790.126,-471.8540,62.6100%,-60.9510,92.8384%
singlecenter-alpha_3-82-n75,75,singlecenter,3,0.0601,1004.83,667.563,1018.6800,697.9110,TSP_OPT_BED_ORIG_0.50,661.529,-343.3010,65.8349%,-6.0340,99.0961%
singlecenter-alpha_3-83-n75,75,singlecenter,3,0.2410,1018.57,724.526,1033.8400,705.4870,LKH_SOL,705.487,-313.0830,69.2625%,-19.0390,97.3722%
singlecenter-alpha_3-84-n75,75,singlecenter,3,0.0716,1100.52,816.538,1110.4100,851.3630,TSP_OPT,816.538,-283.9820,74.1957%,0.0000,100.0000%
singlecenter-alpha_3-85-n75,75,singlecenter,3,0.0497,1035.13,658.357,1049.0900,695.0640,TSP_OPT_BED_INV_1.25,651.195,-383.9350,62.9095%,-7.1620,98.9121%
singlecenter-alpha_3-86-n75,75,singlecenter,3,0.0588,1207.58,909.722,1211.5300,931.4040,TSP_OPT_BED_ORIG_0.50,825.859,-381.7210,68.3896%,-83.8630,90.7815%
singlecenter-alpha_3-87-n75,75,singlecenter,3,1.3493,1118.94,851.066,1121.1100,842.7820,TSP_OPT_BER_ORIG_0.50,810.676,-308.2640,72.4504%,-40.3900,95.2542%
singlecenter-alpha_3-88-n75,75,singlecenter,3,0.0652,1208.5,865.242,1227.7400,756.0200,LKH_SOL,756.02,-452.4800,62.5585%,-109.2220,87.3767%
singlecenter-alpha_3-89-n75,75,singlecenter,3,0.0601,1026.08,774.536,1026.0800,774.5360,TSP_OPT_BED_ORIG_1.50,750.161,-275.9190,73.1094%,-24.3750,96.8530%
singlecenter-alpha_3-90-n75,75,singlecenter,3,0.2505,1216.31,877.892,1221.1100,864.6450,LKH_SOL_BED_INV_0.50,848.057,-368.2530,69.7238%,-29.8350,96.6015%
doublecenter-alpha_3-81-n75,75,doublecenter,3,0.0417,1409.64,1048.38,1418.3200,1035.2900,TSP_OPT_BED_ORIG_2.00,1022.52,-387.1200,72.5377%,-25.8600,97.5333%
doublecenter-alpha_3-82-n75,75,doublecenter,3,0.0401,1506.07,1148.8,1510.8500,1151.2300,TSP_OPT_BED_INV_0.75,1011.65,-494.4200,67.1715%,-137.1500,88.0615%
doublecenter-alpha_3-83-n75,75,doublecenter,3,0.0692,1480.84,990.84,1500.8800,952.0050,LKH_SOL_BED_ORIG_0.50,940.893,-539.9470,63.5378%,-49.9470,94.9591%
doublecenter-alpha_3-84-n75,75,doublecenter,3,0.2990,1812.42,1377.02,1831.8200,1333.0300,LKH_SOL_BED_ORIG_1.00,1313.28,-499.1400,72.4600%,-63.7400,95.3712%
doublecenter-alpha_3-85-n75,75,doublecenter,3,0.1445,1887.41,1207.4,1900.7400,1265.2500,TSP_OPT_BED_INV_0.50,1190.6,-696.8100,63.0812%,-16.8000,98.6086%
doublecenter-alpha_3-86-n75,75,doublecenter,3,0.1367,1455.14,1007.85,1455.1400,1007.8500,TSP_OPT,1007.85,-447.2900,69.2614%,0.0000,100.0000%
doublecenter-alpha_3-87-n75,75,doublecenter,3,0.0886,1501.97,1111.68,1501.9700,1111.6800,TSP_OPT,1111.68,-390.2900,74.0148%,0.0000,100.0000%
doublecenter-alpha_3-88-n75,75,doublecenter,3,0.0694,1832.22,1212.68,1834.8300,1248.4200,TSP_OPT,1212.68,-619.5400,66.1864%,0.0000,100.0000%
doublecenter-alpha_3-89-n75,75,doublecenter,3,0.0606,1527.38,1110.9,1573.2500,1187.3300,TSP_OPT_BED_ORIG_0.50,1056.29,-471.0900,69.1570%,-54.6100,95.0842%
doublecenter-alpha_3-90-n75,75,doublecenter,3,0.0477,1448.73,963.435,1461.1400,1095.9300,TSP_OPT_BED_ORIG_1.75,950.46,-498.2700,65.6064%,-12.9750,98.6533%
uniform-alpha_1-91-n100,100,uniform,1,0.1498,803.699,697.043,822.4480,696.0640,LKH_SOL,696.064,-107.6350,86.6075%,-0.9790,99.8595%
uniform-alpha_1-92-n100,100,uniform,1,0.0679,747.799,627.425,754.2480,630.3040,TSP_OPT,627.425,-120.3740,83.9029%,0.0000,100.0000%
uniform-alpha_1-93-n100,100,uniform,1,0.0581,766.227,632.2,769.1420,647.5480,TSP_OPT,632.2,-134.0270,82.5082%,0.0000,100.0000%
uniform-alpha_1-94-n100,100,uniform,1,0.1660,768.793,663.043,771.0990,667.4420,TSP_OPT_BED_ORIG_1.25,662.134,-106.6590,86.1264%,-0.9090,99.8629%
uniform-alpha_1-95-n100,100,uniform,1,0.1027,787.164,667.353,796.4380,681.4140,TSP_OPT,667.353,-119.8110,84.7794%,0.0000,100.0000%
uniform-alpha_1-96-n100,100,uniform,1,0.0474,791.431,670.742,796.7610,683.8270,TSP_OPT,670.742,-120.6890,84.7505%,0.0000,100.0000%
uniform-alpha_1-97-n100,100,uniform,1,0.1975,798.314,700.484,809.5810,694.8610,LKH_SOL,694.861,-103.4530,87.0411%,-5.6230,99.1973%
uniform-alpha_1-98-n100,100,uniform,1,0.0816,778.256,632.117,786.8210,661.3380,TSP_OPT,632.117,-146.1390,81.2222%,0.0000,100.0000%
uniform-alpha_1-99-n100,100,uniform,1,0.1684,795.863,680.41,795.8630,680.4100,TSP_OPT,680.41,-115.4530,85.4934%,0.0000,100.0000%
uniform-alpha_1-100-n100,100,uniform,1,0.1319,793.399,687.686,793.7330,689.9420,TSP_OPT,687.686,-105.7130,86.6759%,0.0000,100.0000%
singlecenter-alpha_1-91-n100,100,singlecenter,1,0.0896,1300.54,1024.76,1300.9800,1026.4000,TSP_OPT,1024.76,-275.7800,78.7950%,0.0000,100.0000%
singlecenter-alpha_1-92-n100,100,singlecenter,1,0.2176,1408.9,1137.57,1429.2000,1142.7600,TSP_OPT_BED_ORIG_1.25,1132.01,-276.8900,80.3471%,-5.5600,99.5112%
singlecenter-alpha_1-93-n100,100,singlecenter,1,0.3049,1353.06,1129.16,1372.5700,1138.3200,TSP_OPT_BED_INV_1.25,1127.3,-225.7600,83.3149%,-1.8600,99.8353%
singlecenter-alpha_1-94-n100,100,singlecenter,1,0.1336,1534.67,1264.61,1544.5300,1268.9600,TSP_OPT,1264.61,-270.0600,82.4027%,0.0000,100.0000%
singlecenter-alpha_1-95-n100,100,singlecenter,1,0.1754,1241.42,976.58,1250.4800,988.4380,TSP_OPT,976.58,-264.8400,78.6664%,0.0000,100.0000%
singlecenter-alpha_1-96-n100,100,singlecenter,1,0.0913,1372.88,1117.64,1384.4800,1132.0000,TSP_OPT_BED_INV_1.25,1108.71,-264.1700,80.7580%,-8.9300,99.2010%
singlecenter-alpha_1-97-n100,100,singlecenter,1,0.1491,1393.13,1092.78,1404.6200,1115.4900,TSP_OPT,1092.78,-300.3500,78.4406%,0.0000,100.0000%
singlecenter-alpha_1-98-n100,100,singlecenter,1,0.0621,1434.1,1095.18,1451.9300,1136.2700,TSP_OPT_BED_ORIG_1.50,1092.84,-341.2600,76.2039%,-2.3400,99.7863%
singlecenter-alpha_1-99-n100,100,singlecenter,1,1.1048,1104.64,871.91,1122.7200,870.5060,LKH_SOL_BER_INV_1.25,864.592,-240.0480,78.2691%,-7.3180,99.1607%
singlecenter-alpha_1-100-n100,100,singlecenter,1,0.0992,1212.51,982.207,1218.5800,986.3080,TSP_OPT,982.207,-230.3030,81.0061%,0.0000,100.0000%
doublecenter-alpha_1-91-n100,100,doublecenter,1,0.2088,1724.27,1386.98,1739.2400,1453.4700,TSP_OPT,1386.98,-337.2900,80.4387%,0.0000,100.0000%
doublecenter-alpha_1-92-n100,100,doublecenter,1,0.1360,1692.2,1380.85,1716.2800,1365.8700,LKH_SOL,1365.87,-326.3300,80.7156%,-14.9800,98.9152%
doublecenter-alpha_1-93-n100,100,doublecenter,1,0.0480,1574.12,1251.22,1590.5600,1261.1400,TSP_OPT,1251.22,-322.9000,79.4870%,0.0000,100.0000%
doublecenter-alpha_1-94-n100,100,doublecenter,1,0.1285,1756.83,1434.71,1756.8300,1434.7100,TSP_OPT,1434.71,-322.1200,81.6647%,0.0000,100.0000%
doublecenter-alpha_1-95-n100,100,doublecenter,1,0.0916,1854.25,1437.42,1883.5200,1471.9400,TSP_OPT,1437.42,-416.8300,77.5203%,0.0000,100.0000%
doublecenter-alpha_1-96-n100,100,doublecenter,1,0.0995,1840.03,1504.56,1877.2300,1550.1600,TSP_OPT,1504.56,-335.4700,81.7682%,0.0000,100.0000%
doublecenter-alpha_1-97-n100,100,doublecenter,1,0.1262,1953.61,1556.86,1965.8200,1581.3500,TSP_OPT,1556.86,-396.7500,79.6914%,0.0000,100.0000%
doublecenter-alpha_1-98-n100,100,doublecenter,1,0.1485,1702.52,1426.28,1712.3400,1435.6100,TSP_OPT_BER_ORIG_1.25,1420.06,-282.4600,83.4093%,-6.2200,99.5639%
doublecenter-alpha_1-99-n100,100,doublecenter,1,0.0855,1693.45,1296.35,1724.7000,1355.5500,TSP_OPT,1296.35,-397.1000,76.5508%,0.0000,100.0000%
doublecenter-alpha_1-100-n100,100,doublecenter,1,0.1201,1884.64,1437.58,1913.1900,1488.0200,TSP_OPT,1437.58,-447.0600,76.2788%,0.0000,100.0000%
uniform-91-n100,100,uniform,2,0.1295,803.699,645.643,822.4480,636.8460,LKH_SOL_BED_INV_0.75,633.821,-169.8780,78.8630%,-11.8220,98.1690%
uniform-92-n100,100,uniform,2,0.1140,747.799,562.578,754.2480,571.7720,TSP_OPT_BED_INV_0.75,560.584,-187.2150,74.9645%,-1.9940,99.6456%
uniform-93-n100,100,uniform,2,0.0400,766.227,566.214,769.1420,581.9190,TSP_OPT_BED_ORIG_1.00,564.441,-201.7860,73.6650%,-1.7730,99.6869%
uniform-94-n100,100,uniform,2,0.1091,768.793,612.381,771.0990,614.3190,TSP_OPT,612.381,-156.4120,79.6549%,0.0000,100.0000%
uniform-95-n100,100,uniform,2,0.1042,787.164,608.837,796.4380,632.4830,TSP_OPT_BED_INV_0.75,605.142,-182.0220,76.8762%,-3.6950,99.3931%
uniform-96-n100,100,uniform,2,0.0404,791.431,611.286,796.7610,636.8610,TSP_OPT,611.286,-180.1450,77.2381%,0.0000,100.0000%
uniform-97-n100,100,uniform,2,0.2098,798.314,646.51,809.5810,640.7740,LKH_SOL,640.774,-157.5400,80.2659%,-5.7360,99.1128%
uniform-98-n100,100,uniform,2,0.1217,778.256,557.359,786.8210,590.3920,TSP_OPT,557.359,-220.8970,71.6164%,0.0000,100.0000%
uniform-99-n100,100,uniform,2,0.2015,795.863,627.687,795.8630,627.6870,TSP_OPT_BED_INV_0.75,619.635,-176.2280,77.8570%,-8.0520,98.7172%
uniform-100-n100,100,uniform,2,0.0945,793.399,644.52,793.7330,642.0420,LKH_SOL_BED_INV_0.75,635.444,-157.9550,80.0914%,-9.0760,98.5918%
singlecenter-91-n100,100,singlecenter,2,0.1037,1300.54,904.715,1300.9800,904.0120,LKH_SOL,904.012,-396.5280,69.5105%,-0.7030,99.9223%
singlecenter-92-n100,100,singlecenter,2,0.1187,1408.9,1023.77,1429.2000,1041.2600,TSP_OPT_BED_INV_0.75,986.768,-422.1320,70.0382%,-37.0020,96.3857%
singlecenter-93-n100,100,singlecenter,2,0.1799,1353.06,1026.56,1372.5700,1016.9100,LKH_SOL,1016.91,-336.1500,75.1563%,-9.6500,99.0600%
singlecenter-94-n100,100,singlecenter,2,0.1099,1534.67,1125.64,1544.5300,1113.4300,LKH_SOL_BER_ORIG_0.75,1111.19,-423.4800,72.4058%,-14.4500,98.7163%
singlecenter-95-n100,100,singlecenter,2,0.1640,1241.42,830.581,1250.4800,845.6730,TSP_OPT,830.581,-410.8390,66.9057%,0.0000,100.0000%
singlecenter-96-n100,100,singlecenter,2,0.0590,1372.88,976.372,1384.4800,1007.4900,TSP_OPT_BER_INV_0.75,969.3,-403.5800,70.6034%,-7.0720,99.2757%
singlecenter-97-n100,100,singlecenter,2,0.1282,1393.13,993.763,1404.6200,1003.3700,TSP_OPT_BED_ORIG_0.75,969.968,-423.1620,69.6251%,-23.7950,97.6056%
singlecenter-98-n100,100,singlecenter,2,0.0526,1434.1,942.459,1451.9300,985.6320,TSP_OPT_BED_ORIG_0.75,913.563,-520.5370,63.7029%,-28.8960,96.9340%
singlecenter-99-n100,100,singlecenter,2,0.9899,1104.64,780.944,1122.7200,756.2420,LKH_SOL_BED_INV_0.75,745.099,-359.5410,67.4517%,-35.8450,95.4100%
singlecenter-100-n100,100,singlecenter,2,0.0800,1212.51,872.759,1218.5800,874.4560,TSP_OPT,872.759,-339.7510,71.9795%,0.0000,100.0000%
doublecenter-91-n100,100,doublecenter,2,0.1880,1724.27,1264.51,1739.2400,1351.3200,TSP_OPT,1264.51,-459.7600,73.3360%,0.0000,100.0000%
doublecenter-92-n100,100,doublecenter,2,0.1385,1692.2,1241.89,1716.2800,1247.9200,TSP_OPT_BED_ORIG_0.75,1215.63,-476.5700,71.8373%,-26.2600,97.8855%
doublecenter-93-n100,100,doublecenter,2,0.0487,1574.12,1138.03,1590.5600,1130.9100,LKH_SOL_BED_ORIG_0.75,1124.69,-449.4300,71.4488%,-13.3400,98.8278%
doublecenter-94-n100,100,doublecenter,2,0.1605,1756.83,1305.46,1756.8300,1305.4600,TSP_OPT_BED_INV_1.25,1293.37,-463.4600,73.6195%,-12.0900,99.0739%
doublecenter-95-n100,100,doublecenter,2,0.0815,1854.25,1263.17,1883.5200,1285.3600,TSP_OPT,1263.17,-591.0800,68.1230%,0.0000,100.0000%
doublecenter-96-n100,100,doublecenter,2,0.0885,1840.03,1374.08,1877.2300,1429.4800,TSP_OPT_BED_INV_0.75,1371.41,-468.6200,74.5319%,-2.6700,99.8057%
doublecenter-97-n100,100,doublecenter,2,0.1279,1953.61,1410.05,1965.8200,1413.5700,TSP_OPT,1410.05,-543.5600,72.1766%,0.0000,100.0000%
doublecenter-98-n100,100,doublecenter,2,0.1590,1702.52,1297.01,1712.3400,1297.3000,TSP_OPT_BED_INV_0.75,1270.55,-431.9700,74.6276%,-26.4600,97.9599%
doublecenter-99-n100,100,doublecenter,2,0.1021,1693.45,1151.01,1724.7000,1216.0200,TSP_OPT_BED_ORIG_0.75,1125.98,-567.4700,66.4903%,-25.0300,97.8254%
doublecenter-100-n100,100,doublecenter,2,0.1337,1884.64,1285.55,1913.1900,1294.9900,TSP_OPT,1285.55,-599.0900,68.2120%,0.0000,100.0000%
uniform-alpha_3-91-n100,100,uniform,3,0.1391,803.699,645.256,822.4480,635.6340,TSP_OPT_BED_ORIG_0.75,625.859,-177.8400,77.8723%,-19.3970,96.9939%
uniform-alpha_3-92-n100,100,uniform,3,0.0812,747.799,562.183,754.2480,569.4060,TSP_OPT_BED_INV_0.50,554.45,-193.3490,74.1443%,-7.7330,98.6245%
uniform-alpha_3-93-n100,100,uniform,3,0.0398,766.227,563.849,769.1420,580.5780,TSP_OPT_BED_INV_0.75,558.24,-207.9870,72.8557%,-5.6090,99.0052%
uniform-alpha_3-94-n100,100,uniform,3,0.0894,768.793,612.381,771.0990,614.3190,TSP_OPT_BED_ORIG_1.75,603.928,-164.8650,78.5553%,-8.4530,98.6197%
uniform-alpha_3-95-n100,100,uniform,3,0.1075,787.164,608.837,796.4380,631.5270,TSP_OPT_BER_INV_1.00,602.944,-184.2200,76.5970%,-5.8930,99.0321%
uniform-alpha_3-96-n100,100,uniform,3,0.0513,791.431,610.709,796.7610,636.8610,TSP_OPT,610.709,-180.7220,77.1652%,0.0000,100.0000%
uniform-alpha_3-97-n100,100,uniform,3,0.2476,798.314,646.361,809.5810,640.6760,LKH_SOL_BED_INV_1.50,632.728,-165.5860,79.2580%,-13.6330,97.8908%
uniform-alpha_3-98-n100,100,uniform,3,0.0947,778.256,554.9,786.8210,590.3850,TSP_OPT_BED_INV_0.50,551.87,-226.3860,70.9111%,-3.0300,99.4540%
uniform-alpha_3-99-n100,100,uniform,3,0.1473,795.863,627.687,795.8630,627.6870,TSP_OPT_BED_INV_0.50,618.811,-177.0520,77.7535%,-8.8760,98.5859%
uniform-alpha_3-100-n100,100,uniform,3,0.1408,793.399,642.208,793.7330,641.4600,LKH_SOL_BED_INV_0.50,634.918,-158.4810,80.0251%,-7.2900,98.8649%
singlecenter-alpha_3-91-n100,100,singlecenter,3,0.0939,1300.54,898.187,1300.9800,895.8830,LKH_SOL,895.883,-404.6570,68.8855%,-2.3040,99.7435%
singlecenter-alpha_3-92-n100,100,singlecenter,3,0.0978,1408.9,1019.69,1429.2000,1036.8000,TSP_OPT_BED_INV_0.50,957.772,-451.1280,67.9801%,-61.9180,93.9278%
singlecenter-alpha_3-93-n100,100,singlecenter,3,0.1941,1353.06,1023.06,1372.5700,1012.1600,LKH_SOL_BED_ORIG_0.75,995.206,-357.8540,73.5522%,-27.8540,97.2774%
singlecenter-alpha_3-94-n100,100,singlecenter,3,0.0964,1534.67,1119.77,1544.5300,1107.5600,LKH_SOL_BED_INV_1.25,1097.2,-437.4700,71.4942%,-22.5700,97.9844%
singlecenter-alpha_3-95-n100,100,singlecenter,3,0.2209,1241.42,826.535,1250.4800,841.3540,TSP_OPT,826.535,-414.8850,66.5798%,0.0000,100.0000%
singlecenter-alpha_3-96-n100,100,singlecenter,3,0.0759,1372.88,957.136,1384.4800,998.5260,TSP_OPT_BER_INV_0.50,956.121,-416.7590,69.6435%,-1.0150,99.8940%
singlecenter-alpha_3-97-n100,100,singlecenter,3,0.1338,1393.13,992.574,1404.6200,1002.6600,TSP_OPT_BED_ORIG_0.75,918.735,-474.3950,65.9475%,-73.8390,92.5609%
singlecenter-alpha_3-98-n100,100,singlecenter,3,0.0424,1434.1,932.9,1451.9300,973.3180,TSP_OPT_BED_INV_0.50,891.074,-543.0260,62.1347%,-41.8260,95.5166%
singlecenter-alpha_3-99-n100,100,singlecenter,3,0.8631,1104.64,779.023,1122.7200,753.2410,TSP_OPT_BER_ORIG_0.50,722.366,-382.2740,65.3938%,-56.6570,92.7272%
singlecenter-alpha_3-100-n100,100,singlecenter,3,0.0665,1212.51,870.074,1218.5800,871.9540,LKH_SOL_BED_ORIG_0.75,868.18,-344.3300,71.6019%,-1.8940,99.7823%
doublecenter-alpha_3-91-n100,100,doublecenter,3,0.1531,1724.27,1249.91,1739.2400,1348.6200,TSP_OPT_BED_INV_1.25,1218.1,-506.1700,70.6444%,-31.8100,97.4550%
doublecenter-alpha_3-92-n100,100,doublecenter,3,0.2589,1692.2,1236.68,1716.2800,1239.2200,LKH_SOL_BED_INV_1.00,1171.7,-520.5000,69.2412%,-64.9800,94.7456%
doublecenter-alpha_3-93-n100,100,doublecenter,3,0.0442,1574.12,1128.76,1590.5600,1120.0300,LKH_SOL_BED_ORIG_0.50,1099.91,-474.2100,69.8746%,-28.8500,97.4441%
doublecenter-alpha_3-94-n100,100,doublecenter,3,0.1379,1756.83,1295.77,1756.8300,1295.7700,TSP_OPT_BED_ORIG_2.00,1234.7,-522.1300,70.2800%,-61.0700,95.2870%
doublecenter-alpha_3-95-n100,100,doublecenter,3,0.0926,1854.25,1234.55,1883.5200,1259.6900,TSP_OPT,1234.55,-619.7000,66.5795%,0.0000,100.0000%
doublecenter-alpha_3-96-n100,100,doublecenter,3,0.0927,1840.03,1373.48,1877.2300,1429.1500,TSP_OPT_BED_INV_0.50,1356.22,-483.8100,73.7064%,-17.2600,98.7433%
doublecenter-alpha_3-97-n100,100,doublecenter,3,0.1226,1953.61,1393.44,1965.8200,1400.6600,TSP_OPT,1393.44,-560.1700,71.3264%,0.0000,100.0000%
doublecenter-alpha_3-98-n100,100,doublecenter,3,0.1425,1702.52,1292.41,1712.3400,1296.5200,TSP_OPT_BED_ORIG_0.75,1258.81,-443.7100,73.9380%,-33.6000,97.4002%
doublecenter-alpha_3-99-n100,100,doublecenter,3,0.0884,1693.45,1138.36,1724.7000,1198.6100,TSP_OPT_BED_ORIG_0.50,1108.99,-584.4600,65.4870%,-29.3700,97.4200%
doublecenter-alpha_3-100-n100,100,doublecenter,3,0.1282,1884.64,1266.82,1913.1900,1273.9500,TSP_OPT_BED_ORIG_1.00,1236.53,-648.1100,65.6109%,-30.2900,97.6090%
